ID,EDAD,SEXO,CODIGO_DEPARTAMENTO,REGION,TIPO_PESCADOR,COBRO,MONTO,FECHA_CORTE,FECHA_PUBLICACION_PNDA
26549,31,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26386,42,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26837,28,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26167,38,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27133,48,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27035,34,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26392,31,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25993,52,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26915,50,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26475,42,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26275,39,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26283,46,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25768,47,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25807,49,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26062,23,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26235,22,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26287,54,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26476,46,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26835,30,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26966,60,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26719,39,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26518,51,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26676,37,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27409,65,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26317,43,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25962,39,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26439,50,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26261,60,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26881,48,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26609,52,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26420,59,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26672,38,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26654,34,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27139,21,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26169,33,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26183,66,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26889,49,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27253,33,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25679,32,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25971,47,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25824,44,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26195,67,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26473,30,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25693,28,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25701,53,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26905,49,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25792,39,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
